Isolate,Location,Area,Country,Country_code,Type of site,Source,Host,MT
1-PA37-Port,,Portugal,Portugal,PORT,,soil,Quercus suber,A2
2-PA45-Port,,Portugal,Portugal,PORT,,soil,Quercus suber,A2
5-TavQsub1-Port,"Tavira, Faro",Faro_Portugal,Portugal,PORT,Nursery,Soil,Quercus suber,A2
6-Arb2-TSrnd-Port,"Tavira, Faro",Faro_Portugal,Portugal,PORT,Forest,Soil,Arbutus unedo,A2
7-BarXV-1b-8-Port,"Loulé, Faro",Faro_Portugal,Portugal,PORT,Forest,Soil,Quercus suber,A2
8-Foz-Port,"Silves, Faro",Faro_Portugal,Portugal,PORT,Forest,Soil,Quercus suber,A2
9-S-MarcSALG401-Port,"Silves, Faro",Faro_Portugal,Portugal,PORT,Forest,Soil,Quercus suber,A2
10-S7Castl-1-Port,"Vinhais, Bragança",Bragança_Portugal,Portugal,PORT,Forest,Soil,Castanea sativa,A2
11-S10-S66-L3-Port,"Macedo de Cavaleiros, Bragança",Bragança_Portugal,Portugal,PORT,Forest,Soil,Quercus suber,A2
12-S13-S66-L3-Port,"Montemor-o-Novo, Évora",Evora_Portugal,Portugal,PORT,Forest,Soil,Quercus suber,A2
13-S14-S70-L6-Port,"Loulé, Faro",Faro_Portugal,Portugal,PORT,Forest,Soil,Quercus suber,A2
14-S102-S8-1-Port,"Terras de Bouro, Braga",Braga_Portugal,Portugal,PORT,Forest,Soil,Quercus robur + Quercus pyrenaica,A2
16-S113-S1-Port,"Terras de Bouro, Braga",Braga_Portugal,Portugal,PORT,Forest,Soil,Quercus suber,A2
17-S126-S2-Port,"Amarante, Porto",Porto_Portugal,Portugal,PORT,Nursery,Soil,Abies alba,A2
18-S127-S4-Port,"Amarante, Porto",Porto_Portugal,Portugal,PORT,Nursery,Soil,Arbutus unedo,A2
44-CL9-Chile,"Parque Oncol, site 5",S_Chile,Chile,CHL,Forest,Soil,Drimys winteri,A2
45-CL19-Chile,"Parque Oncol, site 6",S_Chile,Chile,CHL,Forest,Soil,Saxegothea conspicua,A2
46-CL35-Chile,"Parque Oncol, site 6",S_Chile,Chile,CHL,Forest,Soil,Luma apiculata,A2
47-CL44-Chile,"Parque Oncol, site 5",S_Chile,Chile,CHL,Forest,Soil,Drimys winteri,A2
48-CL53-Chile,"Parque Oncol, site 7",S_Chile,Chile,CHL,Forest,Soil,Saxegothea conspicua,A2
49-CL59-Chile," Las Minas, close to Rio Futa",Cent_Chile,Chile,CHL,Forest,Soil,Castanea sativa,A2
50-CL69-Chile," Las Minas, close to Rio Futa",Cent_Chile,Chile,CHL,Forest,Soil,Castanea sativa,A2
51-CL71-Chile,"Reserva Costera Valdiviana, site 20",S_Chile,Chile,CHL,Forest,Soil,Nothofagus dombeyi,A2
52-CL80-Chile,"Reserva Costera Valdiviana, site 20",S_Chile,Chile,CHL,Forest,Soil,Saxegothea conspicua,A2
53-CL88-Chile,"Reserva Costera Valdiviana, site 21",S_Chile,Chile,CHL,Forest,Soil,Luma apiculata,A2
54-CL110-Chile,"Reserva Costera Valdiviana, site 22",S_Chile,Chile,CHL,Forest,Soil,Nothofagus dombeyi,A2
55-CL113-Chile,"Reserva Costera Valdiviana, site 23",S_Chile,Chile,CHL,Forest,Soil,Nothofagus dombeyi,A2
56-CL131-Chile,"Reserva Costera Valdiviana, site 24",S_Chile,Chile,CHL,Forest,Soil,Nothofagus dombeyi,A2
57-CL141-Chile,"Reserva Costera Valdiviana, site 24",S_Chile,Chile,CHL,Forest,Soil,Nothofagus dombeyi,A2
58-CL147-Chile,"Reserva Costera Valdiviana, site 24",S_Chile,Chile,CHL,Forest,Soil,Drimys+Luma+Nothofagus,A2
92-TW2-NTaiw,"Fushan, site F02",N_Taiwan,Taiwan,TWN,Forest,Soil,Diospyros morrisiana,A2
93-TW3-NTaiw,"Fushan, site F02",N_Taiwan,Taiwan,TWN,Forest,Soil,Diospyros morrisiana,A2
94-TW6-NTaiw,"Fushan, site F02",N_Taiwan,Taiwan,TWN,Forest,Soil,Castanopsis carlesii,A2
96-TW9-NTaiw,"Fushan, site F02",N_Taiwan,Taiwan,TWN,Forest,Soil,Cinnamomum micranthum,A2
97-TW12-NTaiw,"Fushan, site F01",N_Taiwan,Taiwan,TWN,Forest,Soil,Quercus glauca,A1
98-TW17-NTaiw,"Fushan, site F01",N_Taiwan,Taiwan,TWN,Forest,Soil,Quercus stenophyloides,A2_Homothallic
99-TW18-NTaiw,"Fushan, site F01",N_Taiwan,Taiwan,TWN,Forest,Soil,Quercus stenophyloides,A1
100-TW20-NTaiw,"Fushan, site F02",N_Taiwan,Taiwan,TWN,Forest,Soil,Castanopsis carlesii,A1
101-TW21-NTaiw,"Fushan, site F02",N_Taiwan,Taiwan,TWN,Forest,Soil,Diospyros morrisiana,A2?
102-TW22-NTaiw,"Fushan, site F02",N_Taiwan,Taiwan,TWN,Forest,Soil,Swamp,A2?
103-TW27-NTaiw,"Fushan, site F02",N_Taiwan,Taiwan,TWN,Forest,Soil,Machilus thunbergii,A1
104-TW80-NETaiw,"Taipingshan, site F04",NE_Taiwan,Taiwan,TWN,Forest,Soil,Fagus hayatae,A1
105-TW81-NETaiw,"Taipingshan, site F04",NE_Taiwan,Taiwan,TWN,Forest,Soil,Fagus hayatae,A1
106-TW82bis-NETaiw,"Taipingshan, site F04",NE_Taiwan,Taiwan,TWN,Forest,Soil,Fagus hayatae,A1
107-TW84-NETaiw,"Taipingshan, site F04",NE_Taiwan,Taiwan,TWN,Forest,Soil,Fagus hayatae,A1
178-W1360-NSWalesAus,"Heathcote NP, Sarah' s knots",NSW_Aus,Australia,AUS,,,Acacia hispida,0
179-W1366-NSWalesAus,"Blue Mountains NP, Mount Victoria",NSW_Aus,Australia,AUS,,,"Grevillea sp., Eucalyptus sp.",A2
180-W1368-NSWalesAus,"Blue Mountains NP, Mount Victoria",NSW_Aus,Australia,AUS,,,"Grevillea sp., Acacia sp.",A2
181-W1371-NSWalesAus,"Blue Mountains NP, Katoomba",NSW_Aus,Australia,AUS,,,Leptospermum sp.,0
182-W1398-NSWalesAus,"Dharawal SCA, Madden Falls",NSW_Aus,Australia,AUS,,,"Eucalyptus sp., Petrophile sp.",A2
185-W1461-NSWalesAus,Garrawarra State Conservation,NSW_Aus,Australia,AUS,,,,A2
186-W1626-NSWalesAus,Georges River NP,NSW_Aus,Australia,AUS,,,Banksia sp.,A2
187-W1636-NSWalesAus,Parr Conservation Park,NSW_Aus,Australia,AUS,,,"Banksia sp., Eucalyptus sp.",A2
188-W1639-NSWalesAus,"Wollemi NP, Mount Lagoon",NSW_Aus,Australia,AUS,,,"Eucalyptus sp., Acacia costata",A2
189-W1640-NSWalesAus,"Wollemi NP, Mount Lagoon",NSW_Aus,Australia,AUS,,,"Eucalyptus sp., Acacia costata",A2
190-W1641-NSWalesAus,"Wollemi NP, Colo Heights",NSW_Aus,Australia,AUS,,,Macrozamia sp.,A2
191-W1653-NSWalesAus,Dharawal SCA,NSW_Aus,Australia,AUS,,,"Eucalyptus sp., Angophora sp.",A2
193-W1659-NSWalesAus,Garrawarra State Conservation,NSW_Aus,Australia,AUS,,,"Casuarina sp., Eucalyptus sp.",A2
200-W1733-NSWalesAus_Rep1,Hawlesbury Nepean,NSW_Aus,Australia,AUS,,,,A2
219-W1871-NSWalesAus,"New England NP, NSW",NSW_Aus,Australia,AUS,,,Gondwana rainforest,A2
62-PH030-Italy,,Italy,Italy,ITL,Nursery,root,Quercus ilex,A2
63-PH031-Italy,,Italy,Italy,ITL,Nursery,collar,Castanea sativa,A2
64-PH032-Italy,,Italy,Italy,ITL,Nursery,root,Taxus baccata,A2
65-PH067-Italy,,Italy,Italy,ITL,Garden,bark,Quercus suber,A2
66-PH092-Italy,,Italy,Italy,ITL,woodland,soil,Quercus suber,A2
81-CIN6-DomRep,Celestina,Celestina_DomRep,Dominican Republic,DOMREP,Forest,Soil,Pinus occidentalis,A2
82-CIN9-DomRep,Los Montones,Los Montones_DomRep,Dominican Republic,DOMREP,Forest,Soil,Pinus occidentalis,A2
83-CIN10-DomRep,Los Montones,Los Montones_DomRep,Dominican Republic,DOMREP,Forest,Soil,Pinus occidentalis,A2
84-CIN11-DomRep,Los Gurabitos,Los Gurabitos_DomRep,Dominican Republic,DOMREP,Plantation,Soil,Pinus caribaea,A2
85-CIN14-DomRep,Crossing of roads to Carrizal and Rincón de Piedras,DomRep,Dominican Republic,DOMREP,Forest,Soil,Pinus occidentalis,A2
69-PH186-France,,France,France,FRA,Forest,soil,Quercus ilex,A2
76-P53-04-France,,France,France,FRA,,,Castanea sp. ,A2
77-P54-04-France,,France,France,FRA,,,Quercus sp. ,A2
228-CP517-SAfrica,S&SW Cape,S&SW Cape_SAfrica,South Africa,RSA,,,Ocotea bullata,A2
229-CP518-SAfrica,S&SW Cape,S&SW Cape_SAfrica,South Africa,RSA,,,Ocotea bullata,A1
